Record Length,Analog:1400
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.1000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+3.360000E-07,-1.490116E-08,+1.060000E+00
+3.370000E-07,-1.490116E-08,+1.020000E+00
+3.380000E-07,-1.490116E-08,+9.800000E-01
+3.390000E-07,-1.490116E-08,+9.800000E-01
+3.400000E-07,-4.000001E-02,+9.400001E-01
+3.410000E-07,-4.000001E-02,+9.000001E-01
+3.420000E-07,-4.000001E-02,+9.000001E-01
+3.430000E-07,-4.000001E-02,+9.000001E-01
+3.440000E-07,-4.000001E-02,+8.600001E-01
+3.450000E-07,-4.000001E-02,+8.600001E-01
+3.460000E-07,-4.000001E-02,+8.200002E-01
+3.470000E-07,-4.000001E-02,+8.200002E-01
+3.480000E-07,-4.000001E-02,+7.800000E-01
+3.490000E-07,-4.000001E-02,+7.400000E-01
+3.500000E-07,-4.000001E-02,+7.800000E-01
+3.510000E-07,-4.000001E-02,+7.400000E-01
+3.520000E-07,-4.000001E-02,+7.000000E-01
+3.530000E-07,-4.000001E-02,+7.000000E-01
+3.540000E-07,-1.490116E-08,+6.600001E-01
+3.550000E-07,-1.490116E-08,+6.600001E-01
+3.560000E-07,-1.490116E-08,+6.600001E-01
+3.570000E-07,-1.490116E-08,+6.200001E-01
+3.580000E-07,-1.490116E-08,+5.800002E-01
+3.590000E-07,-1.490116E-08,+6.200001E-01
+3.600000E-07,-1.490116E-08,+5.800002E-01
+3.610000E-07,+8.000000E-02,+5.800002E-01
+3.620000E-07,+1.600000E-01,+5.400000E-01
+3.630000E-07,+2.800000E-01,+5.400000E-01
+3.640000E-07,+3.600000E-01,+5.800002E-01
+3.650000E-07,+4.000000E-01,+5.800002E-01
+3.660000E-07,+4.000000E-01,+5.800002E-01
+3.670000E-07,+4.000000E-01,+5.800002E-01
+3.680000E-07,+4.000000E-01,+5.800002E-01
+3.690000E-07,+4.000000E-01,+5.400000E-01
+3.700000E-07,+4.000000E-01,+5.000000E-01
+3.710000E-07,+4.400000E-01,+4.600000E-01
+3.720000E-07,+5.200000E-01,+4.600000E-01
+3.730000E-07,+5.600000E-01,+4.600000E-01
+3.740000E-07,+6.400000E-01,+4.200001E-01
+3.750000E-07,+7.200000E-01,+4.200001E-01
+3.760000E-07,+8.400000E-01,+4.200001E-01
+3.770000E-07,+9.200000E-01,+4.200001E-01
+3.780000E-07,+9.999999E-01,+4.200001E-01
+3.790000E-07,+1.040000E+00,+4.200001E-01
+3.800000E-07,+1.120000E+00,+4.200001E-01
+3.810000E-07,+1.160000E+00,+4.200001E-01
+3.820000E-07,+1.200000E+00,+3.800001E-01
+3.830000E-07,+1.280000E+00,+3.800001E-01
+3.840000E-07,+1.320000E+00,+3.400002E-01
+3.850000E-07,+1.400000E+00,+3.400002E-01
+3.860000E-07,+1.480000E+00,+3.400002E-01
+3.870000E-07,+1.560000E+00,+3.000002E-01
+3.880000E-07,+1.640000E+00,+3.000002E-01
+3.890000E-07,+1.680000E+00,+3.000002E-01
+3.900000E-07,+1.760000E+00,+3.400002E-01
+3.910000E-07,+1.840000E+00,+3.000002E-01
+3.920000E-07,+1.880000E+00,+3.000002E-01
+3.930000E-07,+1.960000E+00,+3.000002E-01
+3.940000E-07,+2.000000E+00,+3.000002E-01
+3.950000E-07,+2.040000E+00,+3.000002E-01
+3.960000E-07,+2.120000E+00,+3.400002E-01
+3.970000E-07,+2.160000E+00,+3.000002E-01
+3.980000E-07,+2.280000E+00,+3.000002E-01
+3.990000E-07,+2.280000E+00,+3.400002E-01
+4.000000E-07,+2.360000E+00,+3.400002E-01
+4.010000E-07,+2.440000E+00,+3.000002E-01
+4.020000E-07,+2.440000E+00,+3.000002E-01
+4.030000E-07,+2.480000E+00,+3.000002E-01
+4.040000E-07,+2.520000E+00,+3.000002E-01
+4.050000E-07,+2.560000E+00,+3.000002E-01
+4.060000E-07,+2.560000E+00,+3.000002E-01
+4.070000E-07,+2.600000E+00,+3.400002E-01
+4.080000E-07,+2.680000E+00,+3.400002E-01
+4.090000E-07,+2.720000E+00,+3.400002E-01
+4.100000E-07,+2.720000E+00,+3.400002E-01
+4.110000E-07,+2.760000E+00,+3.400002E-01
+4.120000E-07,+2.760000E+00,+3.400002E-01
+4.130000E-07,+2.760000E+00,+3.400002E-01
+4.140000E-07,+2.840000E+00,+3.400002E-01
+4.150000E-07,+2.880000E+00,+3.400002E-01
+4.160000E-07,+2.880000E+00,+3.400002E-01
